Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Удовенко,Ростислав,Геннадійович,male,1964-06-10,Офіс-менеджер,село Одеса,"набережна Юхима Геллера, буд. 3, Українка , 70864",+380 02 082-66-26,olha86@example.net
Орлик,Пріска,Мар'янівна,female,1949-01-15,Системний адміністратор,хутір Хмільник,"набережна Східчастий 3-й, буд. 48, Самбір, 16175",+380 37 133-29-64,datsiukoleh@example.net
Дашенко,Руслан,Мар'янович,male,2001-10-12,Кадровий менеджер,село Снігурівка,"сквер Чапаєва, буд. 7, Гнівань, 73768",034 389-27-51,larysazhalilo@example.org
Вітер,Аркадій,Леонідович,male,1957-07-10,PR-менеджер,хутір Хрестівка,"площа Травневий, буд. 44 кв. 393, Львів, 26238",076 189-62-77,drebryk@example.net
Зарудний,Пріска,Денисівна,female,2008-07-18,HR-менеджер,село Ладижин,"парк Десятого квітня, буд. 7, Рава-Руська, 65847",+380 20 524-45-64,ivanokhrymovych@example.com
Захаренко,Анжела,Геннадіївна,female,1979-02-12,Кадровий менеджер,хутір Рівне,"проспект Дніпропетровська дорога, буд. 836, Сімферополь, 10426",810-24-62,xzharko@example.com
Шморгун,Альбіна,Володимирівна,female,2004-03-05,Асистент керівника,місто Надвірна,"провулок Офіцерський 1-й, буд. 611, Олександрівськ, 44470",022 363-65-23,volodymyra28@example.com
Кабалюк,Венедикт,Олексійович,male,2006-02-25,HR-менеджер,місто Нове Давидково,"проспект Шостої 2-й, буд. 104 кв. 5, Нове Давидково, 70026",045 816 82 92,nazarenkovolodymyr@example.com
Сомко,Богуслава,Вікторівна,female,1969-08-17,Аналітик даних,селище Житомир,"набережна 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 12 кв. 335, Джанкой, 65338",549-33-51,iustym76@example.org
Байрак,Амвросій,Сергійович,male,1960-10-05,Асистент керівника,місто Первомайськ,"набережна Матроський узвіз, буд. 164 кв. 4, Джанкой, 42927",971 67 47,babiichukalevtyn@example.org
Вахній,Роксолана,Олексіївна,female,1994-02-21,Копірайтер,селище Тлумач,"сквер Середня, буд. 77 кв. 75, Олешки, 92289",268 67 69,serhiisimashkevych@example.org
Павлик,Валерій,Давидович,male,1985-04-22,Інженер з якості,місто Вараш,"вулиця 8-ма Лінія Дачі Ковалевського, буд. 1, Конотоп, 25624",+380 78 631-17-61,tvasylevych@example.net
Бездітко,Яків,Олегович,male,1988-01-09,Програміст,селище Заводське,"площа Довженка, буд. 400 кв. 33, Токмак, 74182",675-77-30,osomko@example.org
Бездітко,Сергій,Павлович,male,1972-10-19,Інженер з якості,селище Чистякове,"узвіз Орловський, буд. 2, Калуш, 01150",799 62 14,adamvakhnii@example.net
Даниленко,Геннадій,Михайлович,male,1955-10-14,Асистент керівника,місто Новогродівка,"площа Свободи, буд. 048 кв. 0, Переяслав, 29497",055 064 38 69,ktovstolis@example.com
Архипенко,Тереза,Зеновіївна,female,1980-11-29,Інженер з якості,місто Ромни,"площа Каретний, буд. 62, Яремче, 96485",+380 (13) 970-54-10,artemkhrystych@example.org
Забарний,Ярослава,Євгенівна,female,1968-08-26,Менеджер з продукту,місто Кропивницький,"узвіз Сєрогодського, буд. 94 кв. 29, Синельникове, 31498",+380 72 604-65-39,shutkohanna@example.org
Теличенко,Данило,Остапович,male,1980-12-23,Менеджер з маркетингу,хутір Куп'янськ,"шосе Дельфін, буд. 818, Корсунь-Шевченківський, 19754",843-38-15,perepelytsiavalerii@example.net
Хорішко,Марія,Борисівна,female,2006-05-29,Менеджер з продажу,хутір Оріхів,"площа Нова, буд. 96, Конотоп, 08266",+380 84 224-22-43,rozaliia86@example.org
Медведенко,Віра,Юріївна,female,1977-11-10,Менеджер з продажу,селище Обухів,"сквер Совіньйонівський, буд. 658, Коростень, 10279",+380 25 527-65-59,volodymyr34@example.com
Ісаєнко,Варфоломій,Олексійович,male,1938-09-20,Менеджер з продажу,хутір Березівка,"площа 9-та Суворовська, буд. 897 кв. 87, Бахчисарай, 52747",038 018 18 15,ihnat48@example.org
Рябець,Зорян,Григорійович,male,1991-12-17,Бухгалтер,селище Кривий Ріг,"парк Трояндова, буд. 8 кв. 48, Золоте, 16200",+380 53 700 93 12,tereshchenkotetiana@example.net
Бандура,Юстим,Михайлович,male,2003-08-04,Офіс-менеджер,селище Гола Пристань,"сквер Степний 2-й, буд. 95 кв. 6, Батурин, 59891",+380 47 924-79-62,tkozachenko@example.net
Саєнко,Амвросій,Іванович,male,1944-08-16,Менеджер з закупівель,село Кривий Ріг,"узвіз Наявний 1-й, буд. 8, Світлодарськ, 64151",+380 91 682-91-16,huziieduard@example.com
Міщенко,Аркадій,Борисович,male,1961-06-22,Асистент керівника,село Скадовськ,"вулиця Куниці, буд. 60 кв. 94, Добропілля, 07027",018 596-79-46,izhakspas@example.com
Андрощук,Марія,Марківна,female,1963-04-23,Асистент керівника,селище Шахтарськ,"парк Куликовський 2-й, буд. 1 кв. 43, Нововолинськ, 21248",189-86-36,mariia56@example.com
Ващук,Варфоломій,Ігорович,male,1943-10-22,Тестувальник,село Кілія,"парк Восьмого березня 2-й, буд. 819 кв. 25, Костянтинівка, 14208",699-12-55,boleslav27@example.com
Чорновіл,Сніжана,Федорівна,female,1948-06-29,HR-менеджер,село Ланівці,"парк Колекційна, буд. 673 кв. 421, Селидове, 27634",341-63-91,blaba@example.net
Лазаренко,Златослава,Ярославівна,female,1980-08-27,Менеджер з продажу,селище Мерефа,"узвіз Полуничний, буд. 55 кв. 757, Перещепине, 62923",072 598 58 49,volodymyra74@example.org
Мамчур,Марина,Станіславівна,female,1977-08-06,Фінансовий аналітик,хутір Дубровиця,"шосе Капітана Кузнецова, буд. 2 кв. 42, Кам'янка (Черкаська область), 43403",003 436-97-94,havryshkevychvladyslav@example.net
Лаба,Одарка,Володимирівна,female,1974-09-07,Фінансовий аналітик,селище Сквира,"парк Улітіна, буд. 11 кв. 5, Ірміно, 86463",066 227 03 18,zhukmyroslav@example.org
Балабан,Святослав,Кирилович,male,1962-08-02,Дизайнер,селище Чортків,"набережна Сортувальна 1-ша, буд. 444, Ірміно, 87589",+380 48 632 35 94,zorian25@example.com
Вакарчук,Марина,Петрівна,female,2008-09-10,Менеджер з продажу,селище Ніжин,"узвіз Агрономічний, буд. 280 кв. 9, Тячів, 85394",+380 23 232-99-23,artymyshyniakiv@example.com
Яценко,Марта,Марківна,female,1944-12-25,Менеджер з продукту,хутір Новомиргород,"набережна Тетяни Тесс, буд. 6 кв. 3, Підгайці, 61816",065 019 15 18,zabilaihor@example.net
Гавриш,Лукʼян,Романович,male,2004-08-07,Асистент керівника,село Нікополь,"сквер Тимірязєва, буд. 4, Березне, 65948",+380 18 680-47-93,xkadeniuk@example.com
Засуха,Симон,Ярославович,male,1966-12-02,Копірайтер,селище Зимогір'я,"вулиця Базарна, буд. 830 кв. 4, Марганець , 83132",036 269 88 42,mykyta62@example.com
Аврамчук,Варвара,Денисівна,female,1999-03-21,Тестувальник,хутір Деражня,"проспект Моторний 1-й, буд. 628 кв. 9, Фастів, 26310",076 100-38-05,qpiatachenko@example.net
Яремчук,Марія,Юріївна,female,1960-03-13,Фінансовий аналітик,село Селидове,"узвіз Бориса Дерев'янка, буд. 2, Гнівань, 26666",051 056 04 50,milena01@example.org
